Origin,,Long.,Lat.,,,Long.,Lat.,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GB,United Kingdom,-2.844126637,54.04916187,US,United States,-112.4144072,45.67123532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,4,2,5,3,6,3,4,7,11,8,7,8,12,15,14,15,19,19,12,24,18,25,23,26,24,21,33,21,23,37,31,36,21,39,51,56,69,67,54,75,67,81,76,101,81,113,117,134,131,131,71,61
GB,United Kingdom,-2.844126637,54.04916187,CY,Cyprus,33.3317107,35.02961542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,3,1,0,0,3,4,2,2,1,2,1,4,6,10,7,3,5,7,7,5,5,2,1
GB,United Kingdom,-2.844126637,54.04916187,AU,Australia,134.487169,-25.72849215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,1,2,3,3,4,8,4,1,3,2,5,3,4,9,6,5,11,5,11,12,14,15,14,17,14,10,21,13,23,18,22,19,26,30,36,36,42,41,56,53,74,76,92,90,88,32,27
GB,United Kingdom,-2.844126637,54.04916187,HK,Hong Kong,114.1248225,22.38437308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1,4,1,2,1,2,3,1,2,2,0,2,0,3,1,2,0,4,5,7,8,3,3,7,4,5
GB,United Kingdom,-2.844126637,54.04916187,FR,France,2.550860905,46.58620052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,0,1,0,0,0,2,1,3,3,3,6,1,8,5,10,6,9,7,7,3,19,9,14,13,8,20,19,29,23,20,28,25,32,34,43,19,10
GB,United Kingdom,-2.844126637,54.04916187,IR,Iran (Islamic Republic of),54.28473214,32.57651353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,1,0,4,1,1,2,2,3,3,3,2,2,1,4,6,7,5,3,7,6,5,4,6,5,6,6,10,4,3,8,2,4,2,0,1
GB,United Kingdom,-2.844126637,54.04916187,KR,"Korea, Republic of",127.8712141,36.42072138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,3,1,4,5,4,5,6,2,3,5,3,6,3,5,5,7,9,5,4,2
GB,United Kingdom,-2.844126637,54.04916187,TW,Taiwan,120.9387151,23.74299744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,0,1,4,2,3,3,4,2,1,5,3,8,5,4,9,8,9,10,10,7,9,3,0
GB,United Kingdom,-2.844126637,54.04916187,TR,Turkey,35.23990873,39.03819957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,4,6,2,4,5,6,5,4,3,4,2,5,5,7,2,5,5,9,11,17,12,14,11,2
GB,United Kingdom,-2.844126637,54.04916187,IT,Italy,12.07738518,42.84044687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,2,1,0,2,0,3,2,3,2,3,3,5,8,7,7,4,4,4,5,6,18,20,22,17,6,15,9,20,17,21,32,23,38,33,32,17,18
